Traceport Meta Category,Traceport Meta Tag,PCS Term,PCS Code,NTEE Code,Definition,NTEE Long Description,NTEE Major Group Letter,NTEE Major Group Letter Description,360Giving Term
,Humanities,Humanities,SA080000,A70,"Activities which provide opportunities for residents of the community to participate in the study and discussion of contemporary values and public issues in the humanities and social sciences including the areas of literature, history, philosophy, classical and modern languages, archaeology, linguistics and jurisprudence with the objective of developing an understanding and appreciation for these fields of learning. Also includes more formal studies and explorations in these fields.",,A,"Arts, Culture & Humanities",
,Art history,Art history,SA080100,A71,"The collection, study, narrative or analysis of some historical aspect of art, expressed in any medium.",,A,"Arts, Culture & Humanities",
,History,History,SA080200,A72,Study and scholarship on earlier eras and events in human culture.,,A,"Arts, Culture & Humanities",
,Languages,Languages,SA080300,A74,"Promotion of the scholarly study, research and appreciation of the classical languages including Latin, Greek and Biblical languages; and promotion of the study or teaching of foreign languages (e.g., American Council on the Teaching of Foreign Languages), and schools and institutes that focus solely on the teaching of foreign languages and cultures (e.g., Alliance Francaise; Goethe Institute). For grants and recipients dealing with language and linguistics (not necessarily foreign) use Linguistics. For organizations that teach English as a second language, use ESL and second language acquisition. For organizations that focus on the technical aspects of language development and learning, use Education.",,A,"Arts, Culture & Humanities",
,Linguistics,Linguistics,SA080400,A75,"Organized opportunities for individuals to pursue their interest in linguistics, the study and mastery of any of the classical or modern languages or the study of human speech in its various aspects including the units, nature, structure and modifications of language or languages with special attention to such factors as etymology, phonetics, phonology, morphology, accent, syntax, semantics, general or philosophical grammar and the relation between writing and speech, often through the medium of a club or society that is under the leadership of people who are knowledgeable in the subject. Activities may include lectures and other presentations that provide information about linguistics or specific languages; opportunities for members to share and/or discuss their own work on major issues in the field; and other activities that promote the study and appreciation of language and linguistics.",,A,"Arts, Culture & Humanities",
,Literature and writing,Literature and writing,SA080500,A76,"Includes English literature and programs promoting study or work of individual writers and poets (e.g., Poets and Writers of America, Poets in the Schools, etc.). Also used for writing courses in schools.",,A,"Arts, Culture & Humanities",
,Philosophy,Philosophy,SA080600,A77,"Organized opportunities for individuals to pursue their interest in philosophy, the study of ideas in the areas of ethics, aesthetics, epistemology and metaphysics, their logical structure and the theoretical foundations and methods of other disciplines, often through the medium of a club or society that is under the leadership of people who are knowledgeable in the subject. Activities may include lectures and other presentations that provide information about specific areas of philosophy; opportunities for members to share and/or discuss their own work on major issues in the field; and other activities that promote the study and appreciation of philosophy. For organizations that specialize in theological studies, use Theology (in Religion).",,A,"Arts, Culture & Humanities",
,Historical activities,Historical activities,SA090000,A80,"The promotion of public awareness and appreciation of history, historical artifacts, and genealogy. Includes organized opportunities for individuals to pursue their interest in the history of a particular city, state, nation or region, often through the medium of a club or society that is under the leadership of people who are knowledgeable in the subject. Activities may include field trips which enable participants to visit the city, state, nation or region of the world of interest to them; lectures, slide shows and other presentations that provide information about the history of specific areas; opportunities for members to share and/or discuss their own work on major issues in the field; and other activities that promote the study and appreciation of history. For historical societies whose primary function is to operate a museum, use History museums, Sport and hobby museums, or Museums.",,A,"Arts, Culture & Humanities",
,Commemorations,Commemorations,SA090100,A84,"Activities which celebrate, memorialize and sometimes recreate important events in the history of a people such as battles, treaties, speeches, independence days, catastrophes that had an important impact or other similar occasions.",,A,"Arts, Culture & Humanities",
,Genealogy,Genealogy,SA090200,A83,Organized opportunities for individuals who have an interest in their ancestry to explore their family lineage.,,A,"Arts, Culture & Humanities",
,Historic preservation,Historic preservation,SA090300,A82,"Projects to acquire, protect and maintain for the enjoyment and edification of current and future generations buildings, structures, objects, sites or entire districts that have historical, architectural, archaeological or cultural significance.",,A,"Arts, Culture & Humanities",
,Monuments,Monuments,SA090400,A85,"Promotion, creation and preservation of public statues and monuments to memorialize significant events and personages; includes war memorials.",,A,"Arts, Culture & Humanities",
Education,Education,Education,SB000000,B00,"All formally constituted educational institutions (except art and performing art schools) and projects or activities that administer or support those institutions; libraries; organizations whose primary purpose is to provide opportunities for supplementing and continuing education outside the framework of formal education institutions (including English-as-a-second-language programs and literacy and reading programs for children and adults); and organizations that provide educationally related services to students and schools, e.g., educational testing services, scholarship programs, drop-out prevention and programs designed to increase parent participation in the schools.",,B,Education,
,Equal opportunity in education,Equal opportunity in education,SB010000,B13,"Provision of programs or policy initiatives intended to insure equal access to educational opportunities regardless of potential barriers such as race, ethnicity, age, ability or disability, gender, religion, social class, citizenship and sexual orientation.",,B,Education,
,Educational management,Educational management,SB020000,B02,"Promotion and provision of training, research, policy and best practices in management of educational institutions and education systems.",,B,Education,
,Elementary and secondary education,Elementary and secondary education,SB030000,B20,"Formal education provided by elementary and secondary schools for children and adolescents through a graded system of instruction that focuses initially on basic skills such as reading, writing, and mathematics and later on a broader curriculum of study which prepares students for specific employment opportunities or undergraduate, graduate and/or professional study of specific fields or practices.",,B,Education,
,Elementary education,Elementary education,SB030200,B24,Elementary education as that provided by schools so classified by state and local practice and composed of any span of grades not above grade eight. A preschool or kindergarten school is included under this heading only if it is an integral part of an elementary school or a regularly established school system.,,B,Education,
,Middle school education,Middle school education,SB030300,B23,"Education provided at schools between the elementary and secondary levels and educational programs serving students in those grades. Includes middle, intermediate and/or junior high school education, usually comprising at least two grade levels between 6-9. ",,B,Education,
,Secondary education,Secondary education,SB030400,B25,Education at a school comprising any span of grades beginning with the next grade following a middle school and ending with or below grade 12. High schools provide formal instruction for students who want to prepare themselves for further education at the college level as well as those who prefer to seek employment immediately after high school graduation. The curriculum for students who are planning to terminate their formal education focuses on vocational preparation whereas that for college-bound students focuses on providing the required number of hours of instruction in targeted subjects to enable them to meet college entrance requirements.,,B,Education,
,Bilingual education,Bilingual education,SB030500,B26,"Programs, usually within the formal education system, that offer content area instruction in two languages: the native language of students and the language of the majority culture. Attention is focused on developing the academic skills of minority students while they learn the language of the majority culture. See also: ESL and second language acquisition. Use this code for English as a second language in elementary through high school grade levels.",,B,Education,
,Charter school education,Charter school education,SB030600,B29,"Educational services provided by charter schools, nonsectarian public schools that parents may choose to send their children to, and that operate without many of the regulations that apply to traditional public schools. The ""charter"" establishing each such school is a performance contract detailing the school's mission, program, goals, students served, methods of assessment, and ways to measure success. The length of time for which charters are granted varies, but most are granted for 3-5 years. At the end of the term, the entity granting the charter may renew the school's contract. Charter schools are accountable to their sponsor-- usually a state or local school board-- to produce positive academic results and adhere to the charter contract. The basic concept of charter schools is that they exercise increased autonomy in return for this accountability. They are accountable for both academic results and fiscal practices to several groups: the sponsor that grants them, the parents who choose them, and the public that funds them.",,B,Education,
,Gifted education,Gifted education,SB030700,B27,Programs that provide special educational opportunities including accelerated promotion through grades and classes and an enriched curriculum for students who are endowed with a high degree of mental ability or who demonstrate unusual physical coordination or creativity and talent in the visual or performing arts.,,B,Education,
,Special needs education,Special needs education,SB030800,B28,"Programs that provide educational services including special placement and individualized programming, instruction and/or support services for exceptional children and youth including those who have hearing impairments, visual impairments, physical disabilities, learning disabilities, and/or other developmental disabilities, emotional disturbance, multiple disabilities or speech or language impairments and who need appropriately modified curricula, teaching methodologies and instructional materials in order to learn. Services may include the development, in partnership with the child's parents, of an individualized educational plan to meet the child's needs and the implementation and review at least annually of each child's Individualized Education Program (IEP) to determine progress and future needs. Includes schools for children and youth with visual or hearing impairments, learning disabilities, physical disabilities, etc.",,B,Education,
,Child educational development,Child educational development,SB030900,B22,"Educational institutions and programs that provide educational activities and experiences for children of all ages which are intended to foster social, emotional and intellectual growth and prepare them for formal learning at a variety of levels. Included are Social Emotional Learning (SEL) programs through which children acquire self-awareness, self-control, and interpersonal skills, Head Start programs, federally funded child development programs that provides educational experiences, development of innovative curricula to enhance the learning experience, medical and dental services, nutritional meals, counseling, and opportunities for parental involvement to help prepare low-income and disabled children succeed in school.",,B,Education,
,STEM education,STEM education,SB031000,NEW,"Provision of programs or policy initiatives designed to emphasize science, math and technical education and skills at every level of K-12 schooling and training to insure better preparation for individual careers and workforce development in science, math, engineering and technology and related fields.",,N,Recreation & Sports,
,Multicultural education,Multicultural education,SB031100,NEW,"Forms of education or teaching that incorporate histories, texts, values, beliefs and perspectives of people from different cultural backgrounds. Often associated with school reform efforts, the majority of multicultural education efforts in the U.S. are in K-12 schools; they contrast with bilingual education in that they do not emphasize assimilation of the majority culture and/or language. Use For: Multinational education; Culturally sensitive education; Bicultural education.",,N,Recreation & Sports,
,Vocational education,Vocational education,SB040000,B30,"Secondary or postsecondary education programs available in regular or trade high schools or through separate vocational centers or programs that provide formal preparation for semiskilled, skilled, technical or professional occupations for high-school-aged students and, in some cases, adults who have opted to develop or expand their employment opportunities, often in lieu of preparing for college entry. Vocational education programs help participants prepare for full-time employment upon graduation, part-time employment while in school or for more advanced vocational training at the postsecondary level. Includes regional occupational centers and programs and vocational centers (which are generally operated by community adult schools or other secondary or postsecondary institutions). See also: Job training.",,B,Education,
,Vocational secondary education,Vocational secondary education,SB040100,B32,"Education provided at high schools whose course of instruction focuses on preparing students for a particular trade or occupation. The program, though structured and formal, operates outside the aegis of a regular, full-curriculum secondary school.",,B,Education,
,Vocational post-secondary education,Vocational post-secondary education,SB040200,B31,"Postsecondary education offering training in specific technical occupations and skilled and semiskilled trades for individuals who have graduated from high school or the equivalent and have completed prerequisite postsecondary science and mathematics courses. Included are programs that prepare people for careers in areas as diverse as business, cosmetology, computer science, allied health occupations, auto mechanics, building trades and manufacturing.",,B,Education,
,Higher education,Higher education,SB050000,B40,"Programs that provide opportunities for individuals who are beyond the compulsory school attendance age to acquire a higher level of knowledge, skills and specialization in their chosen area of interest within the framework of phased learning in a formal school setting. Includes community or junior colleges, colleges, universities, graduate schools, professional schools and other degree-granting institutions.",,B,Education,
,Community college education,Community college education,SB050100,B41,"Postsecondary education provided by community colleges or junior colleges and commonly organized into two-year programs, which offer instruction that has been adapted in content, level and schedule to meet the needs of the community in which they are located. Community or junior colleges generally offer a comprehensive curriculum which includes basic liberal arts and sciences with transfer, occupational, general education and adult education components. Many U.S. programs award an Associate in Arts (A.A.) certificate to those who successfully complete the requirements.",,B,Education,
,Undergraduate education,Undergraduate education,SB050200,B42,Four-year university-level education that provide courses of study that may lead to the customary bachelor of arts or science degree.,,B,Education,
,University education,University education,SB050300,B43,"Postsecondary education at institutions that offer the highest possible level of formal learning in various fields and disciplines for people who meet entry level requirements and are interested in an advanced education. Included are private colleges and universities that offer a four-year, undergraduate course of study, which award a Bachelor of Arts (B.A.) or Bachelor of Science (B.S.) degree to successful graduates; and those that offer postgraduate study at master's or doctorate levels in addition to an undergraduate program. Some institutions of university status are known as colleges or institutes.",,B,Education,
,Graduate and professional education,Graduate and professional education,SB060000,B50,"Postsecondary education provided at institutions, often affiliated with colleges or universities, that provide opportunities for people who have completed their undergraduate education and received their degrees to receive advanced, postgraduate training in medicine, dentistry, nursing, law, architecture, engineering, education or other professional fields leading to a master's degree or doctorate.",,B,Education,
,Business education,Business education,SB060100,B51,"Formal education at an institution offering courses in preparation for business occupations such as accounting, marketing, management, etc. See also: Vocational education.",,B,Education,
,Law education,Law education,SB060200,B53,"Formal education at institutions, often affiliated with universities, that prepare students who have completed their bachelor's degree to become lawyers. Also included are schools which prepare students to become paralegals or for other work in the legal profession.",,B,Education,
,Medical education,Medical education,SB060300,B54,"Formal education at institutions, often affiliated with universities, that prepare students who have completed their bachelor's degree to become physicians.",,B,Education,
,Social work education,Social work education,SB060400,B59,"Formal education at institutions, often affiliated with universities, that prepare students who have completed their bachelor's degree for careers in social work. Includes instruction in social welfare policy; case work planning; social counseling and intervention strategies; administrative procedures and regulations; and specific applications in areas such as child welfare and family services, probation, employment services and disability counseling.",,B,Education,
,Teacher education,Teacher education,SB060500,B56,"Formal education at institutions, often affiliated with universities, that prepare students who have completed their bachelor's degree to become teachers. Does not include teacher training offered by non-specialized postsecondary institutions. Do not use this code for ongoing teacher training for elementary/secondary teachers.",,B,Education,
,Nursing education,Nursing education,SB060600,B55,Formal education at institutions that prepare students to become nurses or other medical assistants.,,B,Education,
